Type,Post Date,Description,Amount,Check or Slip #
CREDIT,10/09/2012,"CREDIT DUE TO DEBIT CARD DISPUTE",10.76,
DEBIT,10/02/2012,"PUBLIX #545 HAMPTON GA                       10/01",-10.76,
DEBIT,10/02/2012,"PUBLIX #579 FAYETTEVILLE GA                  10/01",-10.76,
DEBIT,10/01/2012,"BARNES & NOBLE #2865 MORROW GA               09/29",0.78,
DEBIT,10/01/2012,"STARBUCKS CORP0008231 FAYETTEVILLE GA        09/28",-11.08,
DEBIT,10/01/2012,"BROWNS MILL ENT FOREST PARK GA               09/28",-2.76,
DEBIT,10/01/2012,"BROWNS MILL ENT FOREST PARK GA               09/28",-20.00,
DEBIT,10/01/2012,"BARNES & NOBLE #2865 MORROW GA               09/29",-8.08,
DEBIT,10/01/2012,"AMERICA'S THRIFT STORE RIVERDALE GA          09/29",-17.15,
DEBIT,10/01/2012,"GOODWILL #540 FAYETTEVILLE GA                09/29",-12.17,
DEBIT,10/01/2012,"FLASH FOODS  20101134 FAYETTEVILLE GA        09/29",-30.00,
DEBIT,09/28/2012,"JONESBORO DWARF HOUSE JONESBORO GA           09/26",-4.71,
DEBIT,09/28/2012,"KRISPY KREME DOUGH RIVERDALE GA              09/26",-7.48,
DEBIT,09/26/2012,"KROGER #413 JONESBORO GA                     09/24",-10.37,
DEBIT,09/26/2012,"MARSHALLS #0687 FAYETTEVILLE GA              09/25",-12.94,
DEBIT,09/24/2012,"II DUA VIETNAMESE REST JONESBORO GA          09/22",-6.42,
DEBIT,09/24/2012,"FLASH FOODS  20101134 FAYETTEVILLE GA        09/23",-30.01,
DEBIT,09/20/2012,"MR HIBACHI ATLANTA GA                        09/18",-6.41,
DEBIT,09/18/2012,"QT 756        07007560 JONESBORO GA          09/17",-30.00,
DEBIT,09/17/2012,"DUANE READE #14223 NEW YORK NY               09/16",-33.17,
DEBIT,09/17/2012,"PUBLIX #545 HAMPTON GA                       09/16",-9.69,
DEBIT,09/14/2012,"STUDENT CENTER30062772 ATLANTA GA            09/13",-7.24,
DEBIT,09/14/2012,"WAFFLE HOUSE 1890 ATLANTA GA                 09/13",-9.33,
DEBIT,09/13/2012,"JIMMY JOHNS - 1604 ATLANTA GA                09/11",-5.98,
DEBIT,09/13/2012,"SNACK SODA VENDING MALVERN PA                09/12",-1.00,
DEBIT,09/13/2012,"SNACK SODA VENDING MALVERN PA                09/12",-1.50,
DEBIT,09/12/2012,"SNACK SODA VENDING MALVERN PA                09/11",-1.50,
DEBIT,09/12/2012,"CHIPOTLE 0373 ATLANTA GA                     09/11",-8.69,
DEBIT,09/11/2012,"WAFFLE HOUSE 1890 ATLANTA GA                 09/10",-11.57,
DEBIT,08/31/2012,"II DUA VIETNAMESE REST JONESBORO GA          08/29",-9.90,
DEBIT,08/24/2012,"KROGER 10367 TARA BLVD LOVEJOY GA            08/24 Purchase $1.34 Cash Back $20.00",-21.34,
